Mascot,Count
Eagles,1229
Tigers,879
Panthers,827
Bulldogs,802
Wildcats,701
Warriors,700
Lions,573
Cougars,484
Knights,443
Mustangs,426
Indians,418
Falcons,381
Trojans,378
Vikings,362
Rams,310
Spartans,304
Raiders,300
Cardinals,287
Patriots,285
Hornets,259
Pirates,258
Hawks,242
Bears,235
Crusaders,235
Bobcats,188
Rebels,179
Blue Devils,172
Titans,165
Jaguars,164
Saints,158
Wolves,153
Chargers,152
Yellowjackets,150
Huskies,148
Wolverines,142
Dragons,129
Red Devils,116
Braves,115
Lancers,107
Pioneers,106
Rockets,106
Cavaliers,93
Comets,87
Bearcats,84
Broncos,82
Golden Eagles,78
Gators,76
Longhorns,72
Rangers,71
Red Raiders,70
Redskins,70
Cowboys,69
Bruins,68
Chiefs,68
Owls,64
Hurricanes,63
Grizzlies,62
Royals,59
Greyhounds,57
Colts,57
Bluejays,57
Buccaneers,56
Lakers,55
Generals,55
Coyotes,53
Highlanders,53
Tornadoes,48
Buffaloes,47
Mavericks,45
Thunderbirds,42
Timberwolves,42
Beavers,41
Bison,41
Sharks,40
Mountaineers,37
Storm,36
Blazers,36
Chieftains,36
Bombers,34
Leopards,34
Demons,34
Monarchs,33
Hilltoppers,33
Blackhawks,32
Phoenix,31
Wolfpack,31
Green Wave,31
Cubs,30
Miners,30
Minutemen,30
Seahawks,29
Flyers,29
Ravens,29
Cobras,29
Bengals,29
Fighting Irish,29
Golden Bears,28
Stallions,28
Marauders,28
Thunder,27
Stars,27
Badgers,26
Colonels,26
Cadets,26
Cyclones,25
Gladiators,25
Clippers,25
Firebirds,25
Lobos,25
Conquerors,25
Lumberjacks,24
Maroons,24
Lynx,23
Griffins,23
Bucks,23
Dons,23
Elks,23
War Eagles,23
Roadrunners,22
Jets,22
Pumas,22
Irish,22
Mariners,21
Quakers,21
Redmen,21
Trailblazers,20
Roughriders,20
Orioles,20
Lightning,19
Blue Jays,19
Aggies,19
Scots,19
Polar Bears,19
Black Knights,19
Shamrocks,19
Flames,18
Bulls,18
Dolphins,18
Terriers,18
Red Hawks,18
Kings,17
Nighthawks,17
Rattlers,17
Golden Knights,17
Warhawks,17
Pride,16
Scorpions,16
Ramblers,16
Barons,15
Senators,15
Angels,15
Oilers,15
Devils,15
Sabers,15
Aztecs,15
Gaels,15
Gryphons,15
Apaches,15
Loggers,15
Matadors,15
Foxes,15
Sailors,15
Colonials,14
Centurions,14
Blue Knights,14
Mohawks,14
Yellow Jackets,13
Aces,13
Skyhawks,13
Defenders,13
Bees,13
Commodores,13
Railroaders,13
Sentinels,13
Blue Streaks,13
Broncs,13
Golden Hawks,13
Pilots,12
Sabres,12
Mounties,12
Rough Riders,12
Mules,12
Savages,12
Farmers,12
Admirals,11
Mountain Lions,11
Thunderbolts,11
Dukes,11
Celtics,11
Arrows,11
Redbirds,11
Eagle,11
Giants,10
Vipers,10
Ambassadors,10
Ironmen,10
Guardians,10
Packers,10
Big Red,10
Olympians,10
Scotties,10
Gophers,10
Governors,10
Seminoles,10
Big Reds,10
Whippets,10
Black Bears,9
Norsemen,9
Pacers,9
Plainsmen,9
ThunderHawks,9
Challengers,9
Crimson Tide,9
Dutchmen,9
Friars,9
Jackrabbits,9
Unicorns,9
Phantoms,8
Raptors,8
Wranglers,8
Islanders,8
Brahmas,8
Stags,8
Volunteers,8
Bronchos,8
Presidents,8
Bluejackets,8
Buckaroos,8
Honkers,8
Suns,7
Kangaroos,7
Vaqueros,7
Diamondbacks,7
Engineers,7
Marlins,7
Pelicans,7
Black Hawks,7
Blue Raiders,7
Fighting Tigers,7
Musketeers,7
Paladins,7
Sabercats,7
Antelopes,7
Ponies,7
Saxons,7
Swordsmen,7
Vandals,7
Bishops,7
Flashes,7
Golden Tornadoes,7
Green Waves,7
Sachems,7
Zebras,7
Outlaws,6
Ducks,6
RedHawks,6
Explorers,6
Golden Lions,6
Jayhawks,6
Fighting Owls,6
Golden Tigers,6
Gorillas,6
Navigators,6
Pointers,6
Steers,6
Kingsmen,6
Millers,6
Regents,6
Skippers,6
Sun Devils,6
Tartans,6
Green Devils,6
Green Dragons,6
Midgets,6
Red Knights,6
Redwings,6
Blues,5
Sting,5
Aviators,5
Soldiers,5
Texans,5
Wizards,5
Tritons,5
Whalers,5
Cats,5
Commandos,5
Fighting Saints,5
Oaks,5
Red Dragons,5
Commanders,5
Frogs,5
Green Knights,5
Meteors,5
Tomcats,5
Wolf Pack,5
Blue Demons,5
Boilermakers,5
