STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAEV,DAEV_ATTRIBUTES,DAWM,DAWM_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,MDEV,MDEV_ATTRIBUTES,MDWM,MDWM_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV01,WV01_ATTRIBUTES,WV20,WV20_ATTRIBUTES
USW00025309,5/7/1995,58.354,-134.55606,5.9,"JUNEAU AIRPORT, AK US",0,",,0,2400",0,",,0,",0,",,0,",156,",,0",44,",,0",,,100,",,X",,,,,,,,,17,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,",,X",,,,,,,,,,,,,36,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00025309,5/8/1995,58.354,-134.55606,5.9,"JUNEAU AIRPORT, AK US",0,",,0,2400",0,",,0,",0,",,0,",233,",,0",50,",,0",,,30,",,X",,,,,,,,,18,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,",,X",,,,,,,,,,,,,45,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00025309,5/9/1995,58.354,-134.55606,5.9,"JUNEAU AIRPORT, AK US",0,",,0,2400",0,",,0,",0,",,0,",228,",,0",50,",,0",,,50,",,X",,,,,,,,,25,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,",,X",,,,,,,,,,,,,58,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00025309,5/10/1995,58.354,-134.55606,5.9,"JUNEAU AIRPORT, AK US",0,",,0,2400",0,",,0,",0,",,0,",183,",,0",94,",,0",,,80,",,X",,,,,,,,,46,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,",,X",,,,,,,,,,,,,130,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00025309,5/11/1995,58.354,-134.55606,5.9,"JUNEAU AIRPORT, AK US",0,",,0,2400",0,",,0,",0,",,0,",172,",,0",83,",,0",,,80,",,X",,,,,,,,,31,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,",,X",,,,,,,,,,,,,54,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00025309,5/12/1995,58.354,-134.55606,5.9,"JUNEAU AIRPORT, AK US",0,",,0,2400",0,",,0,",0,",,0,",200,",,0",78,",,0",,,10,",,X",,,,,,,,,31,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,",,X",,,,,,,,,,,,,54,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00025309,5/13/1995,58.354,-134.55606,5.9,"JUNEAU AIRPORT, AK US",38,",,0,2400",0,",,0,",0,",,0,",172,",,0",72,",,0",,,70,",,X",,,,,,,,,26,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,",,X",,,,,,,,,,,,,54,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,
USW00025309,5/14/1995,58.354,-134.55606,5.9,"JUNEAU AIRPORT, AK US",53,",,0,2400",0,",,0,",0,",,0,",117,",,0",72,",,0",,,100,",,X",,,,,,,,,30,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,",,X",,,,,,,,,,,,,54,",,X",,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,
USW00025309,5/15/1995,58.354,-134.55606,5.9,"JUNEAU AIRPORT, AK US",25,",,0,2400",0,",,0,",0,",,0,",111,",,0",72,",,0",,,100,",,X",,,,,,,,,38,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,",,X",,,,,,,,,,,,,76,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,
USW00025309,5/16/1995,58.354,-134.55606,5.9,"JUNEAU AIRPORT, AK US",137,",,0,2400",0,",,0,",0,",,0,",117,",,0",56,",,0",,,90,",,X",,,,,,,,,30,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,",,X",,,,,,,,,,,,,63,",,X",,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,
