STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,DASF,DASF_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT18,WT18_ATTRIBUTES
USC00111577,8/11/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,350,0,239,0,,,,,,,,,,,,,,,,,272,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,8/12/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,378,0,250,0,,,,,,,,,,,,,,,,,294,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,8/13/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,372,0,272,0,,,,,,,,,,,,,,,,,294,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,8/14/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,T0,0,0,0,0,367,0,267,0,,,,,,,,,,,,,,,,,294,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,8/15/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,163,0,0,0,0,0,306,0,222,0,,,,,,,,,,,,,,,,,272,0,,,,,,,,,,,,,1,0,,,1,0,,,,,,,,,,,,,,,,,,,,
USC00111577,8/16/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,91,0,0,0,0,0,339,0,244,0,,,,,,,,,,,,,,,,,244,0,,,,,,,,,,,,,1,0,,,1,0,,,,,,,,,,,,,,,,,,,,
USC00111577,8/17/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,10,0,0,0,0,0,333,0,233,0,,,,,,,,,,,,,,,,,261,0,,,,,,,,,,,,,1,0,,,1,0,,,,,,,,,,,,,,,,,,,,
USC00111577,8/18/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,317,0,250,0,,,,,,,,,,,,,,,,,261,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,8/19/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,3,0,0,0,0,0,328,0,239,0,,,,,,,,,,,,,,,,,239,0,,,,,,,,,,,,,1,0,,,1,0,,,,,,,,,,,,,,,,,,,,
USC00111577,8/20/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,294,0,222,0,,,,,,,,,,,,,,,,,222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,8/21/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,333,0,194,0,,,,,,,,,,,,,,,,,239,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,8/22/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,272,0,206,0,,,,,,,,,,,,,,,,,206,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,8/23/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,328,0,189,0,,,,,,,,,,,,,,,,,239,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,8/24/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,300,0,222,0,,,,,,,,,,,,,,,,,244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,8/25/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,317,0,222,0,,,,,,,,,,,,,,,,,256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,8/26/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,333,0,211,0,,,,,,,,,,,,,,,,,261,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,8/27/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,322,0,239,0,,,,,,,,,,,,,,,,,250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,8/28/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,25,0,0,0,0,0,294,0,217,0,,,,,,,,,,,,,,,,,256,0,,,,,,,,,,,,,1,0,,,1,0,,,,,,,,,,,,,,,,,,,,
USC00111577,8/29/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,T0,0,0,0,0,328,0,239,0,,,,,,,,,,,,,,,,,256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,8/30/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,339,0,250,0,,,,,,,,,,,,,,,,,261,0,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,8/31/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,322,0,233,0,,,,,,,,,,,,,,,,,233,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,9/1/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,278,0,189,0,,,,,,,,,,,,,,,,,189,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,9/2/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,283,0,156,0,,,,,,,,,,,,,,,,,194,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,9/3/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,300,0,172,0,,,,,,,,,,,,,,,,,222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,9/4/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,317,0,194,0,,,,,,,,,,,,,,,,,233,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,9/5/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,0,0,0,0,0,328,0,200,0,,,,,,,,,,,,,,,,,244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,9/6/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,0,T0,0,0,0,0,306,0,211,0,,,,,,,,,,,,,,,,,211,0,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,
USC00111577,9/7/1995,41.73727,-87.77734,189,CHICAGO MIDWAY AIRPORT 3 SW IL US,86,0,0,0,0,0,222,0,161,0,,,,,,,,,,,,,,,,,161,0,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,
