STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMC,ACMC_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSC,ACSC_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,FRGB,FRGB_ATTRIBUTES,FRGT,FRGT_ATTRIBUTES,FRTH,FRTH_ATTRIBUTES,GAHT,GAHT_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFI,WDFI_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFI,WSFI_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV03,WV03_ATTRIBUTES
USW00003813,5/23/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",0,",,0,2400",0,",,0",0,",,0",322,",,0",133,",,0",,,,,,,,,,,,,,,,,37,",,X",1318,",,X",,,,,,,,,1406,",,X",,,,,,,,,,,,,840,",,X",,,100,",,X",100,",,X",,,,,,,0,",,0",,,89,",,X",98,",,X",,,,,,,1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,
USW00003813,5/24/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",0,",,0,2400",0,",,0",0,",,0",317,",,0",128,",,0",,,,,,,,,,,,,,,,,22,",,X",1514,",,X",,,,,,,,,1513,",,X",,,,,,,,,,,,,821,",,X",,,80,",,X",80,",,X",,,,,,,0,",,0",,,67,",,X",89,",,X",,,,,,,1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,
USW00003813,5/25/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",0,",,0,2400",0,",,0",0,",,0",322,",,0",161,",,0",,,,,,,,,,,,,,,,,12,",,X",1613,",,X",,,,,,,,,1612,",,X",,,,,,,,,,,,,788,",,X",,,110,",,X",90,",,X",,,,,,,0,",,0",,,49,",,X",72,",,X",,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00003813,5/26/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",0,"T,,0,2400",0,",,0",0,",,0",350,",,0",178,",,0",,,,,,,,,,,,,,,,,21,",,X",1946,",,X",,,,,,,,,1945,",,X",,,,,,,,,,,,,651,",,X",,,230,",,X",230,",,X",,,,,,,0,",,0",,,49,",,X",67,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00003813,5/27/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",41,",,0,2400",0,",,0",0,",,0",344,",,0",200,",,0",,,,,,,,,,,,,,,,,24,",,X",1606,",,X",,,,,,,,,1605,",,X",,,,,,,,,,,,,742,",,X",,,320,",,X",320,",,X",,,,,,,0,",,0",,,80,",,X",107,",,X",,,,,,,1,",,0",,,1,",,0",,,,,,,,,1,",,0",,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00003813,5/28/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",112,",,0,2400",0,",,0",0,",,0",339,",,0",200,",,0",,,,,,,,,,,,,,,,,31,",,X",2236,",,X",,,,,,,,,2236,",,X",,,,,,,,,,,,,702,",,X",,,130,",,X",130,",,X",,,,,,,0,",,0",,,94,",,X",107,",,X",,,,,,,1,",,0",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00003813,5/29/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",25,",,0,2400",0,",,0",0,",,0",339,",,0",211,",,0",,,,,,,,,,,,,,,,,26,",,X",1640,",,X",,,,,,,,,1640,",,X",,,,,,,,,,,,,491,",,X",,,70,",,X",70,",,X",,,,,,,0,",,0",,,80,",,X",94,",,X",,,,,,,1,",,0",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00003813,5/30/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",74,",,0,2400",0,",,0",0,",,0",300,",,0",211,",,0",,,,,,,,,,,,,,,,,15,",,X",1543,",,X",,,,,,,,,1542,",,X",,,,,,,,,,,,,281,",,X",,,310,",,X",310,",,X",,,,,,,0,",,0",,,67,",,X",89,",,X",,,,,,,1,",,0",,,1,",,0",,,,,,,,,1,",,0",,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00003813,5/31/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",33,",,0,2400",0,",,0",0,",,0",311,",,0",206,",,0",,,,,,,,,,,,,,,,,19,",,X",1640,",,X",,,,,,,,,1639,",,X",,,,,,,,,,,,,451,",,X",,,10,",,X",10,",,X",,,,,,,0,",,0",,,103,",,X",112,",,X",,,,,,,1,",,0",1,",,X",1,",,0",,,,,,,,,1,",,0",,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00003813,6/1/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",3,",,0,2400",0,",,0",0,",,0",289,",,0",206,",,0",,,,,,,,,,,,,,,,,19,",,X",1941,",,X",,,,,,,,,1400,",,X",,,,,,,,,,,,,113,",,X",,,130,",,X",300,",,X",,,,,,,0,",,0",,,76,",,X",89,",,X",,,,,,,1,",,0",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00003813,6/2/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",3,",,0,2400",0,",,0",0,",,0",283,",,0",211,",,0",,,,,,,,,,,,,,,,,15,",,X",1601,",,X",,,,,,,,,1600,",,X",,,,,,,,,,,,,52,",,X",,,190,",,X",180,",,X",,,,,,,0,",,0",,,98,",,X",125,",,X",,,,,,,1,",,0",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00003813,6/3/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",0,",,0,2400",0,",,0",0,",,0",306,",,0",189,",,0",,,,,,,,,,,,,,,,,25,",,X",1747,",,X",,,,,,,,,1647,",,X",,,,,,,,,,,,,692,",,X",,,120,",,X",100,",,X",,,,,,,0,",,0",,,63,",,X",76,",,X",,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00003813,6/4/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",0,",,0,2400",0,",,0",0,",,0",294,",,0",206,",,0",,,,,,,,,,,,,,,,,24,",,X",1840,",,X",,,,,,,,,1839,",,X",,,,,,,,,,,,,110,",,X",,,120,",,X",110,",,X",,,,,,,0,",,0",,,94,",,X",103,",,X",,,,,,,1,",,0",1,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00003813,6/5/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",554,",,0,2400",0,",,0",0,",,0",239,",,0",211,",,0",,,,,,,,,,,,,,,,,68,",,X",1536,",,X",,,,,,,,,1527,",,X",,,,,,,,,,,,,0,",,X",,,30,",,X",30,",,X",,,,,,,0,",,0",,,125,",,X",143,",,X",,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00003813,6/6/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",5,",,0,2400",0,",,0",0,",,0",322,",,0",206,",,0",,,,,,,,,,,,,,,,,46,",,X",1033,",,X",,,,,,,,,236,",,X",,,,,,,,,,,,,818,",,X",,,310,",,X",310,",,X",,,,,,,0,",,0",,,80,",,X",112,",,X",,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,,,
USW00003813,6/7/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",0,",,0,2400",0,",,0",0,",,0",328,",,0",211,",,0",,,,,,,,,,,,,,,,,38,",,X",1445,",,X",,,,,,,,,1444,",,X",,,,,,,,,,,,,834,",,X",,,240,",,X",240,",,X",,,,,,,0,",,0",,,76,",,X",98,",,X",,,,,,,1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,
USW00003813,6/8/1995,32.68889,-83.65296,104.5,"MACON MIDDLE GA REGIONAL AIRPORT, GA US",0,",,0,2400",0,",,0",0,",,0",339,",,0",206,",,0",,,,,,,,,,,,,,,,,26,",,X",1105,",,X",,,,,,,,,1105,",,X",,,,,,,,,,,,,846,",,X",,,280,",,X",300,",,X",,,,,,,0,",,0",,,67,",,X",94,",,X",,,,,,,1,",,0",,,,,,,,,,,,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,
