STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAEV,DAEV_ATTRIBUTES,DASF,DASF_ATTRIBUTES,DAWM,DAWM_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,MDEV,MDEV_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,MDWM,MDWM_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES
USW00094728,5/9/1995,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,"T,,0,2400",0,",,0,",0,",,0,",222,",,0",111,",,0",,,,,,,,,,,,,,,,,,,,,,,1750,",,X",,,,,,,1949,",,X",,,,,,,,,,,,,653,",,X",150,",,X",,,,,180,"W,,X",,,,,,,40,",,X",,,,,72,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00094728,5/10/1995,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",66,",,0,2400",0,",,0,",0,",,0,",150,",,0",94,",,0",,,,,,,,,,,,,,,,,,,,,,,2250,",,X",,,,,,,2157,",,X",,,,,,,,,,,,,0,",,X",60,",,X",,,,,45,"W,,X",,,,,,,63,",,X",,,,,82,",,X",,,,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,1,",,0",,,,,,,,,,
USW00094728,5/11/1995,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",8,",,0,2400",0,",,0,",0,",,0,",139,",,0",89,",,0",,,,,,,,,,,,,,,,,,,,,,,450,",,X",,,,,,,542,",,X",,,,,,,,,,,,,0,",,X",80,",,X",,,,,45,"W,,X",,,,,,,72,",,X",,,,,113,",,X",,,,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,1,",,0",,,,,,,,,,
USW00094728,5/12/1995,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",3,",,0,2400",0,",,0,",0,",,0,",167,",,0",122,",,0",,,,,,,,,,,,,,,,,,,,,,,2050,",,X",,,,,,,1634,",,X",,,,,,,,,,,,,31,",,X",,,,,,,270,"W,,X",,,,,,,,,,,,,41,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00094728,5/13/1995,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",222,",,0",128,",,0",,,,,,,,,,,,,,,,,,,,,,,850,",,X",,,,,,,1815,",,X",,,,,,,,,,,,,552,",,X",,,,,,,90,"W,,X",,,,,,,,,,,,,72,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,5/14/1995,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,"T,,0,2400",0,",,0,",0,",,0,",189,",,0",106,",,0",,,,,,,,,,,,,,,,,,,,,,,1450,",,X",,,,,,,1203,",,X",,,,,,,,,,,,,400,",,X",150,",,X",,,,,135,"W,,X",,,,,,,40,",,X",,,,,67,",,X",,,,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,1,",,0",,,,,,,,,,
USW00094728,5/15/1995,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",13,",,0,2400",0,",,0,",0,",,0,",211,",,0",111,",,0",,,,,,,,,,,,,,,,,,,,,,,1750,",,X",,,,,,,1529,",,X",,,,,,,,,,,,,162,",,X",,,,,,,45,"W,,X",,,,,,,,,,,,,51,",,X",,,,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,1,",,0",,,,,,,,,,
USW00094728,5/16/1995,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",267,",,0",106,",,0",,,,,,,,,,,,,,,,,,,,,,,1150,",,X",,,,,,,1254,",,X",,,,,,,,,,,,,704,",,X",220,",,X",,,,,225,"W,,X",,,,,,,40,",,X",,,,,72,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,5/17/1995,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",107,",,0,2400",0,",,0,",0,",,0,",189,",,0",122,",,0",,,,,,,,,,,,,,,,,,,,,,,650,",,X",,,,,,,612,",,X",,,,,,,,,,,,,5,",,X",60,",,X",,,,,45,"W,,X",,,,,,,45,",,X",,,,,72,",,X",,,,,,,,,,,,,,,,,,,,,,,,,1,",,X",,,1,",,0",,,,,,,,,,
USW00094728,5/18/1995,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,"T,,0,2400",0,",,0,",0,",,0,",239,",,0",144,",,0",,,,,,,,,,,,,,,,,,,,,,,1550,",,X",,,,,,,2106,",,X",,,,,,,,,,,,,168,",,X",320,",,X",,,,,315,"W,,X",,,,,,,40,",,X",,,,,57,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00094728,5/19/1995,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",46,",,0,2400",0,",,0,",0,",,0,",144,",,0",122,",,0",,,,,,,,,,,,,,,,,,,,,,,650,",,X",,,,,,,1445,",,X",,,,,,,,,,,,,0,",,X",50,",,X",,,,,315,"W,,X",,,,,,,40,",,X",,,,,72,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00094728,5/20/1995,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",250,",,0",122,",,0",,,,,,,,,,,,,,,,,,,,,,,1350,",,X",,,,,,,1343,",,X",,,,,,,,,,,,,809,",,X",280,",,X",,,,,270,"W,,X",,,,,,,36,",,X",,,,,57,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,5/21/1995,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",278,",,0",144,",,0",,,,,,,,,,,,,,,,,,,,,,,1450,",,X",,,,,,,2240,",,X",,,,,,,,,,,,,706,",,X",230,",,X",,,,,225,"W,,X",,,,,,,45,",,X",,,,,98,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
