STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAPR,DAPR_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WV03,WV03_ATTRIBUTES,WV20,WV20_ATTRIBUTES
USW00012844,11/28/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",228,",,0",150,",,0",,,,,,,,,,,,,43,",,X",,,1112,",,X",,,1111,",,X",,,,,,,,,,,,,,,350,",,X",350,",,X",,,,,,,80,",,X",94,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,11/29/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",228,",,0",122,",,0",,,,,,,,,,,,,53,",,X",,,1407,",,X",,,1522,",,X",,,,,,,,,,,,,,,360,",,X",10,",,X",,,,,,,89,",,X",103,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,11/30/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",256,",,0",139,",,0",,,,,,,,,,,,,59,",,X",,,2313,",,X",,,2133,",,X",,,,,,,,,,,,,,,60,",,X",60,",,X",,,,,,,112,",,X",139,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/1/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",10,",,0,2400",0,",,0",0,",,0",261,",,0",233,",,0",,,,,,,,,,,,,87,",,X",,,2222,",,X",,,1049,",,X",,,,,,,,,,,,,,,60,",,X",70,",,X",,,,,,,125,",,X",165,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,12/2/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,"T,,0,2400",0,",,0",0,",,0",261,",,0",211,",,0",,,,,,,,,,,,,70,",,X",,,446,",,X",,,446,",,X",,,,,,,,,,,,,,,60,",,X",50,",,X",,,,,,,107,",,X",143,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00012844,12/3/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",267,",,0",161,",,0",,,,,,,,,,,,,40,",,X",,,1526,",,X",,,1439,",,X",,,,,,,,,,,,,,,80,",,X",80,",,X",,,,,,,76,",,X",94,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/4/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",278,",,0",167,",,0",,,,,,,,,,,,,21,",,X",,,1512,",,X",,,1435,",,X",,,,,,,,,,,,,,,130,",,X",130,",,X",,,,,,,63,",,X",72,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/5/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",272,",,0",150,",,0",,,,,,,,,,,,,34,",,X",,,1025,",,X",,,1218,",,X",,,,,,,,,,,,,,,250,",,X",240,",,X",,,,,,,89,",,X",98,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/6/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",256,",,0",111,",,0",,,,,,,,,,,,,27,",,X",,,257,",,X",,,234,",,X",,,,,,,,,,,,,,,300,",,X",320,",,X",,,,,,,49,",,X",63,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/7/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",256,",,0",156,",,0",,,,,,,,,,,,,31,",,X",,,1106,",,X",,,1244,",,X",,,,,,,,,,,,,,,30,",,X",10,",,X",,,,,,,67,",,X",72,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00012844,12/8/1993,26.6851,-80.09918,3.5,"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",0,",,0,2400",0,",,0",0,",,0",261,",,0",156,",,0",,,,,,,,,,,,,29,",,X",,,1645,",,X",,,1641,",,X",,,,,,,,,,,,,,,360,",,X",10,",,X",,,,,,,67,",,X",80,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
