# normalized_key	display_name	genres
10 000 maniacs	10,000 Maniacs	POP,ELECTRONIC,FOLK
10 years	10 Years	ROCK,HIP_HOP,METAL
100 proof aged in soul	100 Proof Aged In Soul	OTHER
10cc	10cc	POP,ROCK,ELECTRONIC,FOLK
112	112	POP,HIP_HOP,RNB
1927	1927	POP,ROCK
1975	The 1975	POP,ROCK
2 chainz	2 Chainz	POP,HIP_HOP
2 hyped brothers and a dog	2 Hyped Brothers & A Dog	OTHER
2 in a room	2 In A Room	ELECTRONIC
2 live crew	2 LIVE CREW	HIP_HOP,ELECTRONIC
2 of clubs	2 Of Clubs	OTHER
2 pistols	2 Pistols	HIP_HOP
2 unlimited	2 Unlimited	POP,ELECTRONIC
20 fingers	20 Fingers	ELECTRONIC
21 savage	21 Savage	HIP_HOP
2cellos	2CELLOS	POP
2gether	2gether	POP
2nd ii none	2nd II None	HIP_HOP
2nu	2NU	OTHER
2pac	2Pac	HIP_HOP,RNB
3 doors down	3 Doors Down	POP,ROCK,PUNK,METAL
311	311	POP,ROCK,RNB,METAL
38 special	38 Special	POP,ROCK,COUNTRY,FOLK
3lw	3LW	POP,RNB
3oh 3	3OH!3	POP,HIP_HOP,PUNK
3rd bass	3rd Bass	HIP_HOP,ELECTRONIC,PUNK
3t	3T	POP,RNB
4 non blondes	4 Non Blondes	POP
4 of us	The 4 Of Us	ROCK
4 the cause	4 The Cause	OTHER
44	44	PUNK,EMO
5 seconds of summer	5 Seconds of Summer	POP
50 cent	50 Cent	HIP_HOP
5000 volts	5000 Volts	POP,ELECTRONIC
504 boyz	504 Boyz	HIP_HOP
5th dimension	The 5th Dimension	POP,RNB,FOLK
69 boyz	69 Boyz	OTHER
6ix9ine	6ix9ine	EMO
6lack	6LACK	POP,HIP_HOP,RNB
7 aurelius	7 Aurelius	OTHER
702	702	POP,HIP_HOP,RNB
707	707	ROCK
8th day	8th Day	POP
95 south	95 South	OTHER
99 percent	99 Percent	OTHER
a	A+	OTHER
a ap ferg	A$AP Ferg	POP,HIP_HOP
a ap rocky	A$AP Rocky	POP,HIP_HOP
a boogie wit da hoodie	A Boogie Wit da Hoodie	HIP_HOP
a day to remember	A Day To Remember	PUNK,EMO,METAL
a few good men	A Few Good Men	RNB
a flock of seagulls	A Flock Of Seagulls	POP,ROCK,ELECTRONIC
a great big world	A Great Big World	POP,ROCK
a ha	a-ha	POP,ROCK,ELECTRONIC
a l t and the lost civilization	A.L.T. And The Lost Civilization	OTHER
a perfect circle	A Perfect Circle	ROCK,HIP_HOP,METAL
a r rahman	A.R. Rahman	POP
a rocket to the moon	A Rocket To The Moon	POP,PUNK,EMO
a taste of honey	A Taste Of Honey	ELECTRONIC
a teens	A*Teens	POP,ELECTRONIC
a thousand horses	A Thousand Horses	COUNTRY
a trak	A-Trak	HIP_HOP,ELECTRONIC
a tribe called quest	A Tribe Called Quest	HIP_HOP,PUNK
aaliyah	Aaliyah	POP,HIP_HOP,RNB
aaron carter	Aaron Carter	POP
aaron hall	Aaron Hall	RNB
aaron lewis	Aaron Lewis	ROCK,COUNTRY,METAL
aaron lines	Aaron Lines	COUNTRY
aaron neville	Aaron Neville	OTHER
aaron tippin	Aaron Tippin	COUNTRY
abaco dream	Abaco Dream	OTHER
abba	ABBA	POP
abc	ABC	POP,ROCK,ELECTRONIC
abra moore	Abra Moore	POP,FOLK
ac dc	AC/DC	ROCK
ace	Ace	POP
ace cannon	Ace Cannon	OTHER
ace frehley	Ace Frehley	ROCK,METAL
ace hood	Ace Hood	HIP_HOP
ace of base	Ace of Base	POP,ELECTRONIC
ace spectrum	Ace Spectrum	RNB
action bronson	Action Bronson	HIP_HOP
ad libs	The Ad Libs	POP
adam ant	Adam Ant	POP,ROCK,ELECTRONIC
adam faith	Adam Faith	POP,ROCK
adam gontier	Adam Gontier	OTHER
adam lambert	Adam Lambert	POP
adam levine	Adam Levine	POP
adam sandler	Adam Sandler	OTHER
addrisi brothers	The Addrisi Brothers	POP
adele	Adele	POP,RNB
adina howard	Adina Howard	POP,RNB
adrian belew	Adrian Belew	ROCK,JAZZ
adventures	The Adventures	POP
adventures of stevie v	The Adventures Of Stevie V	ELECTRONIC
