# song_key (normalized title|performer)	genres
0 to 100 the catch up|drake	POP,HIP_HOP
1 000 laughs|eloise laws	RNB
1 1|beyonce	POP,RNB
1 dee jay|goody goody	ELECTRONIC
1 thing|amerie	POP,HIP_HOP,RNB
10 bands|drake	POP,HIP_HOP
100 grandkids|mac miller	HIP_HOP
100 pure love|crystal waters	ELECTRONIC
100 years|five for fighting	POP,ROCK
100 years|nancy sinatra	POP,FOLK
1234|feist	POP,ROCK,FOLK,CLASSICAL
143|bobby brackins featuring ray j	RNB,HIP_HOP
17 again|brantley gilbert	COUNTRY
17|rick james	RNB,ELECTRONIC
18 and life|skid row	ROCK,METAL
18|one direction	POP
19 you me|dan shay	COUNTRY
1901|phoenix	POP,ROCK,ELECTRONIC,PUNK
1941|tom northcott	POP
1942 flows|meek mill	POP,HIP_HOP
1973|james blunt	POP
1979|smashing pumpkins	POP,ROCK,METAL
1984|spirit	ROCK,RNB,FOLK
1985|bowling for soup	POP,ROCK,PUNK
1994|jason aldean	COUNTRY
1999|prince	RNB
19th nervous breakdown|rolling stones	ROCK,PUNK
19|paul hardcastle	JAZZ
1st of tha month|bone thugs n harmony	HIP_HOP
1|nelly	POP,HIP_HOP
2 become 1|spice girls	POP
2 legit 2 quit|m c hammer	HIP_HOP,RNB,ELECTRONIC,LATIN
2 phones|kevin gates	HIP_HOP
2 step|unk	POP,HIP_HOP
20 75|willie mitchell	RNB
21 guns|green day	ROCK,PUNK
22|taylor swift	POP
24k magic|bruno mars	POP
25 or 6 to 4|chicago	POP,ROCK,FOLK
25 to life|eminem	HIP_HOP,RNB
26 cents|wilkinsons	COUNTRY
3 little words|nu flavor	POP
3 peat|lil wayne	POP,HIP_HOP
30 60 90|willie mitchell	RNB
30 for 30 freestyle|drake	POP,HIP_HOP
3000 miles|brian hyland	POP,ROCK,RNB,FOLK
31 days|future	POP,HIP_HOP
32 flavors|alana davis	POP,FOLK
3rd man theme|herb alpert and the tijuana brass	POP
3|britney spears	POP
4 da gang|future	POP,HIP_HOP
4 in the morning|gwen stefani	POP
4 minutes|avant	POP,HIP_HOP,RNB
4 my town play ball|birdman featuring drake and lil wayne	POP,HIP_HOP
4 seasons of loneliness|boyz ii men	POP,RNB
4 your eyez only|j cole	HIP_HOP
44 more|logic	HIP_HOP
442 glenwood avenue|pixies three	POP
444 222|lil uzi vert	HIP_HOP
5 1 5 0|dierks bentley	COUNTRY
5 4 3 2 yo time is up|jade	POP,RNB
5 d fifth dimension|byrds	POP,ROCK,RNB,COUNTRY,FOLK
5 star|yo gotti	POP,HIP_HOP
5 tint|travis scott	POP,HIP_HOP
50 ways to leave your lover|paul simon	POP,ROCK,FOLK
50 ways to say goodbye|train	POP
500 miles|hooters	POP,ROCK
6 god|drake	POP,HIP_HOP
6 man|drake	POP,HIP_HOP
6 minutes of pleasure|ll cool j	POP,HIP_HOP,RNB,PUNK
6 underground|sneaker pimps	ELECTRONIC
7 30 guided tour|five americans	POP,ROCK
7 days|craig david	POP,RNB,ELECTRONIC
7 rooms of gloom|four tops	POP,RNB,ELECTRONIC,FOLK
7 things|miley cyrus	POP
7 years|lukas graham	POP
777 9311|time	RNB,ELECTRONIC
7|prince and the new power generation	RNB
8 out of 10|drake	POP,HIP_HOP
808|blaque	POP,RNB
80s mercedes|maren morris	COUNTRY
853 5937|squeeze	POP,ROCK,ELECTRONIC
867 5309 jenny|tommy tutone	POP,ROCK
8th of november|big and rich	COUNTRY
8th wonder|sugarhill gang	HIP_HOP,RNB,ELECTRONIC
8th world wonder|kimberley locke	POP
9 to 5|dolly parton	COUNTRY
