STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAEV,DAEV_ATTRIBUTES,DAWM,DAWM_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,FRGT,FRGT_ATTRIBUTES,GAHT,GAHT_ATTRIBUTES,MDEV,MDEV_ATTRIBUTES,MDWM,MDWM_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,SN02,SN02_ATTRIBUTES,SX02,SX02_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV03,WV03_ATTRIBUTES
USW00013958,4/28/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,278,0,144,0,50,X,30,X,,,,,,,,,34,X,,,,,58,730,1850,X,,,,,,,,,156,0,272,0,1443,X,,,,,,,,,,,,,635,X,130,X,,,,,135,WX,,,79,0,0,0,63,X,,,,,103,X,,,189,0,194,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,4/29/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,T02400,0,0,0,0,311,0,189,0,40,X,40,X,,,,,,,,,54,X,,,,,76,730,1144,X,,,,,,,,,178,0,300,0,950,X,,,,,,,,,,,,,546,X,190,X,,,,,180,WX,,,167,0,0,0,80,X,,,,,134,X,,,189,0,211,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,
USW00013958,4/30/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,300,0,189,0,80,X,70,X,,,,,,,,,52,X,,,,,79,730,1850,X,,,,,,,,,189,0,317,0,2150,X,,,,,,,,,,,,,450,X,160,X,,,,,180,WX,,,201,0,0,0,72,X,,,,,113,X,,,200,0,217,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,5/1/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,272,0,172,0,90,X,90,X,,,,,,,,,54,X,,,,,81,730,1055,X,,,,,,,,,189,0,311,0,1210,X,,,,,,,,,,,,,250,X,360,X,,,,,360,WX,,,203,0,0,0,76,X,,,,,139,X,,,200,0,211,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,5/2/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,222,0,122,0,90,X,90,X,,,,,,,,,34,X,,,,,43,730,1053,X,,,,,,,,,133,0,272,0,1228,X,,,,,,,,,,,,,311,X,80,X,,,,,90,WX,,,117,0,0,0,58,X,,,,,77,X,,,211,0,217,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,5/3/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,T02400,0,0,0,0,283,0,172,0,80,X,90,X,,,,,,,,,31,X,,,,,48,730,950,X,,,,,,,,,128,0,272,0,1220,X,,,,,,,,,,,,,99,X,140,X,,,,,180,WX,,,90,0,0,0,54,X,,,,,82,X,,,206,0,211,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,X,,,1,0,,,,,,,,,,,,
USW00013958,5/4/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,T02400,0,0,0,0,317,0,206,0,70,X,70,X,,,,,,,,,34,X,,,,,23,730,2050,X,,,,,,,,,172,0,272,0,2046,X,,,,,,,,,,,,,366,X,30,X,,,,,45,WX,,,119,0,0,0,67,X,,,,,103,X,,,206,0,211,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,X,,,1,0,,,,,,,,,,,,
USW00013958,5/5/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,T02400,0,0,0,0,300,0,200,0,90,X,80,X,,,,,,,,,41,X,,,,,86,730,1950,X,,,,,,,,,200,0,328,0,2019,X,,,,,,,,,,,,,283,X,150,X,,,,,135,WX,,,80,0,0,0,67,X,,,,,108,X,,,200,0,206,0,1,0,1,X,,,,,,,,,,,,,,,,,,,,,1,X,,,1,0,,,,,,,,,,,,
USW00013958,5/6/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,23,2400,0,0,0,0,311,0,222,0,80,X,70,X,,,,,,,,,51,X,,,,,51,730,1450,X,,,,,,,,,233,0,311,0,1026,X,,,,,,,,,,,,,307,X,140,X,,,,,180,WX,,,151,0,0,0,72,X,,,,,129,X,,,211,0,222,0,1,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,
USW00013958,5/7/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,T02400,0,0,0,0,283,0,239,0,100,X,100,X,,,,,,,,,61,X,,,,,66,730,2150,X,,,,,,,,,228,0,311,0,1404,X,,,,,,,,,,,,,45,X,160,X,,,,,135,WX,,,211,0,0,0,80,X,,,,,159,X,,,211,0,222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,
