STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAEV,DAEV_ATTRIBUTES,DAWM,DAWM_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,MDEV,MDEV_ATTRIBUTES,MDWM,MDWM_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,SN32,SN32_ATTRIBUTES,SX32,SX32_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV03,WV03_ATTRIBUTES
USW00023065,6/24/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,361,0,128,0,,,,,,,,,,,,,65,X,,,,,102,500,1526,X,,,,,161,0,322,0,1319,W,,,,,,,244,W,,,779,X,,,250,X,240,X,,,95,0,0,0,,,148,X,192,X,,,194,0,250,0,1,0,1,X,,,,,,,,,,,,,,,,,,,1,X,,,,,,,,,,,,,,,,
USW00023065,6/25/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,344,0,111,0,,,,,,,,,,,,,42,X,,,,,122,500,1520,X,,,,,150,0,300,0,1547,W,,,,,,,228,W,,,877,X,,,150,X,150,X,,,196,0,0,0,,,89,X,103,X,,,200,0,261,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,6/26/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,389,0,161,0,,,,,,,,,,,,,46,X,,,,,157,500,336,X,,,,,144,0,311,0,245,W,,,,,,,278,W,,,921,X,,,190,X,200,X,,,193,0,0,0,,,76,X,89,X,,,206,0,261,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,6/27/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,339,0,156,0,,,,,,,,,,,,,57,X,,,,,135,500,809,X,,,,,133,0,339,0,824,W,,,,,,,250,W,,,901,X,,,360,X,360,X,,,127,0,0,0,,,107,X,139,X,,,211,0,289,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,6/28/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,2400,0,0,0,0,339,0,133,0,,,,,,,,,,,,,42,X,,,,,137,500,1733,X,,,,,156,0,306,0,1036,W,,,,,,,239,W,,,895,X,,,100,X,100,X,,,243,0,0,0,,,76,X,98,X,,,222,0,272,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,6/29/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,T02400,0,0,0,0,367,0,189,0,,,,,,,,,,,,,47,X,,,,,124,500,1817,X,,,,,161,0,322,0,1816,W,,,,,,,278,W,,,,,,,50,X,50,X,,,153,0,0,0,,,112,X,134,X,,,228,0,278,0,1,0,,,1,0,,,,,,,,,,,,,,,,,1,X,,,,,1,0,,,,,,,,,,
USW00023065,6/30/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,91,2400,0,0,0,0,294,0,167,0,,,,,,,,,,,,,35,X,,,,,112,500,200,X,,,,,172,0,339,0,1414,W,,,,,,,233,W,,,750,X,,,160,X,160,X,,,219,0,0,0,,,94,X,98,X,,,244,0,289,0,1,0,,,1,0,,,,,,,,,,,,,,,,,1,X,,,,,1,0,,,,,,,,,,
USW00023065,7/1/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,5,2400,0,0,0,0,311,0,161,0,,,,,,,,,,,,,64,X,,,,,74,500,1314,X,,,,,172,0,311,0,2300,W,,,,,,,239,W,,,727,X,,,170,X,150,X,,,126,0,0,0,,,112,X,134,X,,,217,0,256,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
USW00023065,7/2/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,5,2400,0,0,0,0,356,0,167,0,,,,,,,,,,,,,68,X,,,,,94,500,1625,X,,,,,167,0,300,0,1507,W,,,,,,,261,W,,,753,X,,,170,X,130,X,,,295,0,0,0,,,112,X,139,X,,,217,0,256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
USW00023065,7/3/1998,39.36729,-101.69322,1110.5,GOODLAND RENNER FIELD KS US,0,T02400,0,0,0,0,356,0,178,0,,,,,,,,,,,,,46,X,,,,,157,500,1726,X,,,,,178,0,322,0,1725,W,,,,,,,267,W,,,714,X,,,170,X,160,X,,,293,0,0,0,,,125,X,143,X,,,228,0,267,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,
